Material Inner,Material Outer,MAWP (Pa),Tank Volume (m^3),Tank Mass (kg),Mass Error (kg),Inner Tank Thickness (m),Outer Tank Thickness (m),Vacuum Gap (m),Inner Tank Length (m),Vh2 (m^3),R_in (m),CO2 (kg),Embodied Energy (MJ),Angle of winding inner,Angle of winding outer,P_vent,Qleak,Q_cond,Q_rad,dv_list,Outer Tank Length (m),Outer Tank Radius (m)
G10,Carbon Fibre UD (Prepreg),1200000,5.536788110308553,451.1058610392382,-384.6864246750476,0.0016977092699636044,0.001,0.04752469248868783,3.1850324665063985,4.744844027677453,0.75,2733.3086134002033,45362.60761311969,50.600000000000044,9.600000000000001,400000,108.28885786649215,72.46107398240858,35.42813886958292,"[0.04752449347893156, 0.04752469248868783]",3.2855372700237013,0.8002524017586514
G10,SS-316,1200000,5.5367911764147895,556.9172884495783,-278.8749972647075,0.0016977092699636044,0.001,0.04752487808693523,3.1850324665063985,4.744844027677453,0.75,1978.8934775791397,33078.329685449615,50.600000000000044,0,400000,108.28885786649215,72.46082203908746,35.42813886958292,"[0.047524808433542225, 0.04752487808693523]",3.285537641220196,0.8002525873568989
SS-304,Al-7075-T6,1200000,5.587388864321179,936.0142821086748,100.22199639438901,0.004445036538518186,0.001,0.04783166701969596,3.1850324665063985,4.744844027677453,0.75,2786.6332487077793,43881.51068565209,0,0,400000,108.28885786649215,72.26997844528424,35.618893222780336,"[0.047831628586212566, 0.04783166701969596]",3.2916458736228265,0.8033067035582141
SS-304,G10,1200000,5.587355620013269,921.1446293287928,85.35234361450699,0.004445036538518186,0.001,0.047829666035146136,3.1850324665063985,4.744844027677453,0.75,2652.5258058094855,42637.64791625535,0,0.0,400000,108.28885786649215,72.27238056518432,35.618893222780336,"[0.04782275312040669, 0.047829666035146136]",3.2916418716537272,0.8033047025736643
SS-304,SS-304,1200000,5.587387443377186,1021.6594626357229,185.86717692143708,0.004445036538518186,0.001,0.04783158149281601,3.1850324665063985,4.744844027677453,0.75,2820.5091443357396,44600.50167215338,0,0,400000,108.28885786649215,72.27006329640707,35.618893222780336,"[0.047831249229057564, 0.04783158149281601]",3.291645702569067,0.8033066180313341
SS-304,Carbon Fibre UD (Prepreg),1200000,5.587384306280281,915.4959713559837,79.70368564169786,0.004445036538518186,0.001,0.04783139267032915,3.1850324665063985,4.744844027677453,0.75,3747.46208411989,57892.133941702865,0,52.6,400000,108.28885786649215,72.27031616478531,35.618893222780336,"[0.04783041170051379, 0.04783139267032915]",3.291645324924093,0.8033064292088472
SS-304,SS-316,1200000,5.587387389816993,1021.9086718970347,186.11638618274884,0.004445036538518186,0.001,0.04783157826901781,3.1850324665063985,4.744844027677453,0.75,2988.7599848225505,45538.05061623267,0,0,400000,108.28885786649215,72.27006658483533,35.618893222780336,"[0.04783123492979702, 0.04783157826901781]",3.2916456961214706,0.803306614807536
Carbon Fibre UD (Prepreg),Al-7075-T6,1200000,5.533262681102139,458.236756817899,-377.5555288963868,0.0015023207350573073,0.001,0.04750663656673723,3.1850324665063985,4.744844027677453,0.75,3223.475620862435,51481.71782535173,50.600000000000044,0,400000,108.28885786649215,72.47428230043714,35.41458951314881,"[0.04750663095253447, 0.04750663656673723]",3.2851103811099875,0.8000389573017945
Carbon Fibre UD (Prepreg),G10,1200000,5.533229637849236,443.4569947188883,-392.3352909953975,0.0015023207350573073,0.001,0.04750463558727164,3.1850324665063985,4.744844027677453,0.75,3090.178890905394,50245.374497030774,50.600000000000044,41.1,400000,108.28885786649215,72.47671007409414,35.41458951314881,"[0.04750362578121575, 0.04750463558727164]",3.285106379151056,0.800036956322329
Carbon Fibre UD (Prepreg),SS-304,1200000,5.533261268751733,543.364188971226,-292.4280967430598,0.0015023207350573073,0.001,0.04750655104007503,3.1850324665063985,4.744844027677453,0.75,3257.1467273181156,52196.362313666206,50.600000000000044,0,400000,108.28885786649215,72.47436814711652,35.41458951314881,"[0.04750650250438068, 0.04750655104007503]",3.285110210056663,0.8000388717751323
Carbon Fibre UD (Prepreg),Carbon Fibre UD (Prepreg),1200000,5.53325815062737,437.8424847640571,-397.94980095022873,0.0015023207350573073,0.001,0.04750636221806879,3.1850324665063985,4.744844027677453,0.75,4178.495983569091,65407.64303823154,50.600000000000044,40.300000000000004,400000,108.28885786649215,72.4746235845248,35.41458951314881,"[0.04750621892216728, 0.04750636221806879]",3.2851098324126506,0.8000386829531261
Carbon Fibre UD (Prepreg),SS-316,1200000,5.53326121551546,543.611891692283,-292.18039402200276,0.0015023207350573073,0.001,0.047506547816285036,3.1850324665063985,4.744844027677453,0.75,3424.380445822188,53128.24351992128,50.600000000000044,0,400000,108.28885786649215,72.47437147358117,35.41458951314881,"[0.04750649766273405, 0.047506547816285036]",3.285110203609083,0.8000388685513423
SS-316,Al-7075-T6,1200000,5.587388610233645,937.0150215526713,101.22273583838552,0.004445036538518186,0.001,0.047831651726121555,3.1850324665063985,4.744844027677453,0.75,3462.2700206315217,47646.380687341334,0,0,400000,108.28885786649215,72.26997844528452,35.618893222780336,"[0.047831613292638187, 0.047831651726121555]",3.2916458430356776,0.8033066882646397
SS-316,G10,1200000,5.587355365926678,922.1453691940541,86.35308347976826,0.004445036538518186,0.001,0.04782965074157186,3.1850324665063985,4.744844027677453,0.75,3328.162581532563,46402.51795318381,0,1.8,400000,108.28885786649215,72.2723805652405,35.618893222780336,"[0.04782273782683284, 0.04782965074157186]",3.2916418410665784,0.80330468728009
SS-316,SS-304,1200000,5.587387189289693,1022.6601996533367,186.86791393905088,0.004445036538518186,0.001,0.04783156619924171,3.1850324665063985,4.744844027677453,0.75,3496.1459152997554,48365.37165347315,0,0,400000,108.28885786649215,72.27006329640975,35.618893222780336,"[0.0478312339354833, 0.04783156619924171]",3.291645671981918,0.8033066027377598
SS-316,Carbon Fibre UD (Prepreg),1200000,5.587384052192878,916.4967113812767,80.70442566699086,0.004445036538518186,0.001,0.04783137737675478,3.1850324665063985,4.744844027677453,0.75,4423.098828822734,61657.003546462154,0,2.1,400000,108.28885786649215,72.27031616479326,35.618893222780336,"[0.04783039640693955, 0.04783137737675478]",3.291645294336944,0.8033064139152729
SS-316,SS-316,1200000,5.587387135729501,1022.9094089075883,187.11712319330246,0.004445036538518186,0.001,0.04783156297544353,3.1850324665063985,4.744844027677453,0.75,3664.396751019913,49302.92057099108,0,0,400000,108.28885786649215,72.27006658483809,35.618893222780336,"[0.04783121963622283, 0.04783156297544353]",3.291645665534322,0.8033065995139617
