grid,velocity,T,D,X_N2,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_N,X_NH,X_NNH,X_NH2
0.000702441406,5.78455044,943.352394,1.73556424,0.264127024,0.647531481,0.00109774862,0.0583432876,1.78424696e-05,0.0280979767,0.000119984872,6.42867617e-05,0.000600368375,5.28810308e-11,1.89899855e-10,1.68276119e-12,4.46479601e-13,4.14026257e-11,1.48405593e-12
0.000702539063,5.80107262,946.240187,1.73062114,0.264174753,0.647253377,0.00112297584,0.058188951,1.83624681e-05,0.0284606359,0.000120839487,6.39478041e-05,0.000596157157,5.41251719e-11,1.9541428e-10,1.73613847e-12,4.58793705e-13,4.30038909e-11,1.50764273e-12
0.000702636719,5.81761552,949.131927,1.72569996,0.264222369,0.646974213,0.00114858207,0.0580335266,1.88926511e-05,0.0288252088,0.000121679749,6.359877e-05,0.000591929397,5.53936981e-11,2.01068273e-10,1.79017631e-12,4.70509729e-13,4.46558159e-11,1.53060464e-12
0.000702734375,5.83417797,952.027412,1.72080093,0.264269868,0.646694002,0.001174569,0.0578770212,1.94330454e-05,0.0291916727,0.000122505989,6.32399131e-05,0.000587687715,5.6689124e-11,2.06866748e-10,1.84702865e-12,4.83753186e-13,4.63615789e-11,1.55506555e-12
0.000702832031,5.85075884,954.926442,1.71592423,0.264317248,0.646412758,0.00120093828,0.0577194414,1.99836726e-05,0.0295600049,0.000123318545,6.28714892e-05,0.000583434629,5.80100767e-11,2.12810763e-10,1.90495065e-12,4.96740569e-13,4.81206697e-11,1.57923332e-12
0.000702929687,5.867357,957.828817,1.71107006,0.264364509,0.646130494,0.0012276915,0.0575607939,2.05445487e-05,0.029930183,0.000124117766,6.24937555e-05,0.000579172557,5.93582276e-11,2.18904432e-10,1.96525417e-12,5.10743529e-13,4.99355247e-11,1.60438054e-12
0.000703027344,5.88397132,960.734344,1.70623858,0.264411647,0.645847222,0.00125483019,0.0574010855,2.11156845e-05,0.0303021845,0.000124904009,6.21069703e-05,0.000574903821,6.07334648e-11,2.25150116e-10,2.02744961e-12,5.25240482e-13,5.18068928e-11,1.62997786e-12
0.000703125,5.90060073,963.642829,1.70142996,0.264458661,0.645562956,0.00128235582,0.057240323,2.1697085e-05,0.030675987,0.000125677636,6.17113936e-05,0.000570630642,6.21379806e-11,2.31552492e-10,2.09335626e-12,5.42014629e-13,5.37378316e-11,1.65780451e-12
0.000703222656,5.91724414,966.554082,1.69664436,0.264505548,0.64527771,0.0013102698,0.0570785134,2.22887498e-05,0.0310515682,0.000126439016,6.13072859e-05,0.000566355148,6.35683578e-11,2.38110661e-10,2.15917621e-12,5.57223038e-13,5.572608e-11,1.68401175e-12
0.000703320312,5.93390048,969.467916,1.69188191,0.264552308,0.644991495,0.00133857348,0.0569156637,2.28906728e-05,0.0314289059,0.000127188523,6.08949086e-05,0.00056207937,6.5025718e-11,2.44828255e-10,2.22566206e-12,5.71594731e-13,5.77736367e-11,1.70931778e-12
